"subnum" "block" "trial" "direction" "stim" "offset" "fixationstart" "delaytime" "promptstart" "arrowstart" "maskstart" "rt" "corresp" "resp" "corr" "bivalentcorr"
"100-1-3" "T" 10 -1 "R" 1 112041 1750 113797 "114003" "114004" 612 "<right>" "<right>" 1 1
"100-1-3" "T" 11 -1 "D" 1 114629 3500 118135 "118341" "118342" 506 "<down>" "<down>" 1 1
"100-1-3" "T" 12 -1 "L" 2 118861 2750 121617 "121824" "121824" 473 "<left>" "<right>" 0 1
"100-1-3" "T" 13 -1 "R" 1 122313 2000 124318 "124526" "124526" 563 "<right>" "<right>" 1 1
"100-1-3" "T" 14 1 "L" 2 125102 2500 127607 "127813" "127814" 1666 "<left>" "<left>" 1 1
"100-1-3" "T" 15 1 "D" 1 129492 3500 132997 "133204" "133204" 680 "<down>" "<down>" 1 1
"100-1-3" "T" 16 -1 "U" 2 133893 3500 137399 "137608" "137608" 747 "<up>" "<up>" 1 1
"100-1-3" "T" 17 -1 "U" 1 138367 2250 140622 "140828" "140829" 746 "<up>" "<up>" 1 1
"100-1-3" "T" 18 1 "L" 2 141585 2750 144340 "144548" "144549" 882 "<left>" "<left>" 1 1
"100-1-3" "T" 19 -1 "U" 1 145445 1750 147201 "147408" "147408" 684 "<up>" "<up>" 1 1
"100-1-3" "T" 20 -1 "U" 2 148104 2750 150858 "151067" "151067" 723 "<up>" "<up>" 1 1
"100-1-3" "T" 21 1 "U" 1 151803 2500 154309 "154516" "154516" 626 "<up>" "<up>" 1 1
"100-1-3" "T" 22 -1 "D" 1 155168 2250 157424 "157631" "157631" 565 "<down>" "<down>" 1 1
"100-1-3" "T" 23 -1 "D" 2 158211 3250 161467 "161673" "161673" 640 "<down>" "<down>" 1 1
"100-1-3" "T" 24 -1 "D" 2 162328 1750 164083 "164289" "164290" 671 "<down>" "<down>" 1 1
"100-1-3" "T" 25 1 "L" 2 164973 2500 167479 "167685" "167686" 1302 "<left>" "<right>" 0 1
"100-1-3" "T" 26 1 "L" 2 169003 1500 170509 "170717" "170717" 600 "<left>" "<left>" 1 1
"100-1-3" "T" 27 1 "D" 1 171329 2000 173335 "173541" "173541" 598 "<down>" "<down>" 1 1
"100-1-3" "T" 28 1 "R" 2 174156 2250 176411 "176617" "176618" 644 "<right>" "<right>" 1 1
"100-1-3" "T" 29 1 "R" 1 177280 1750 179035 "179244" "179244" 514 "<right>" "<right>" 1 1
"100-1-3" "T" 30 1 "L" 1 179777 1500 181283 "181489" "181489" 540 "<left>" "<left>" 1 1
"100-1-3" "T" 31 -1 "L" 2 182045 3000 185051 "185257" "185257" 692 "<left>" "<left>" 1 1
"100-1-3" "T" 32 1 "D" 1 185961 2000 187967 "188174" "188174" 654 "<down>" "<down>" 1 1
"100-1-3" "T" 33 1 "L" 2 188841 3250 192097 "192304" "192304" 665 "<left>" "<left>" 1 1
"100-1-3" "T" 34 -1 "U" 1 192985 3500 196490 "196696" "196697" 755 "<up>" "<up>" 1 1
"100-1-3" "T" 35 -1 "R" 1 197462 2250 199717 "199924" "199924" 596 "<right>" "<right>" 1 1
"100-1-3" "T" 36 1 "U" 2 200538 2000 202544 "202751" "202751" 705 "<up>" "<up>" 1 1
"100-1-3" "T" 37 -1 "D" 2 203469 2500 205975 "206182" "206182" 687 "<down>" "<down>" 1 1
"100-1-3" "T" 38 -1 "L" 2 206885 2750 209641 "209847" "209848" 782 "<left>" "<right>" 0 1
"100-1-3" "T" 39 1 "U" 1 210642 2500 213147 "213353" "213354" 682 "<up>" "<up>" 1 1
"100-1-3" "T" 40 -1 "R" 1 214051 3250 217306 "217512" "217513" 645 "<right>" "<right>" 1 1
"100-1-3" "T" 41 1 "D" 1 218172 3500 221677 "221884" "221885" 631 "<down>" "<down>" 1 1
"100-1-3" "T" 42 -1 "U" 1 222526 2750 225282 "225490" "225491" 615 "<up>" "<up>" 1 1
"100-1-3" "T" 43 -1 "R" 2 226124 2750 228880 "229086" "229087" 673 "<right>" "<right>" 1 1
"100-1-3" "T" 44 -1 "U" 1 229774 1500 231280 "231486" "231487" 597 "<up>" "<up>" 1 1
"100-1-3" "T" 45 -1 "R" 2 232097 2750 234853 "235060" "235060" 661 "<right>" "<right>" 1 1
"100-1-3" "T" 46 1 "U" 1 235738 3000 238743 "238950" "238950" 589 "<up>" "<up>" 1 1
"100-1-3" "T" 47 1 "R" 2 239550 1750 241305 "241511" "241512" 782 "<right>" "<right>" 1 1
"100-1-3" "T" 48 -1 "D" 1 242310 2250 244565 "244771" "244771" 547 "<down>" "<down>" 1 1
"100-1-3" "T" 49 1 "D" 1 245336 3250 248591 "248797" "248798" 633 "<down>" "<down>" 1 1
"100-1-3" "T" 50 1 "D" 1 249455 3000 252460 "252666" "252666" 567 "<down>" "<down>" 1 1
"100-2-1" "P" 0 1 "R" 1 3775 2250 6031 "6539" "6540" 1235 "<right>" "<right>" 1 1
"100-2-1" "P" 0 -1 "D" 1 7792 1750 9551 "10057" "10058" 613 "<down>" "<down>" 1 1
"100-2-1" "P" 0 1 "D" 2 10694 1750 12451 "12958" "12959" 743 "<down>" "<down>" 1 1
"100-2-1" "P" 0 1 "R" 2 13722 3500 17229 "17738" "17739" 666 "<right>" "<right>" 1 1
"100-2-1" "P" 0 -1 "U" 2 18427 3000 21434 "21940" "21941" 598 "<up>" "<up>" 1 1
"100-2-1" "P" 0 -1 "R" 2 22555 2250 24814 "25321" "25322" 444 "<right>" "<right>" 1 1
"100-2-1" "P" 0 -1 "D" 2 25801 2500 28308 "28815" "28816" 556 "<down>" "<down>" 1 1
"100-2-1" "P" 0 -1 "L" 1 29404 1500 30911 "31419" "31419" 608 "<left>" "<left>" 1 1
"100-2-1" "P" 0 -1 "R" 2 35985 3000 38992 "39199" "39200" 633 "<right>" "<right>" 1 1
"100-2-1" "P" 0 1 "D" 1 39854 2250 42110 "42317" "42317" 600 "<down>" "<down>" 1 1
"100-2-1" "P" 0 -1 "L" 2 42937 2500 45443 "45650" "45650" 702 "<left>" "<left>" 1 1
"100-2-1" "P" 0 -1 "U" 2 46370 2750 49127 "49335" "49336" 645 "<up>" "<up>" 1 1
"100-2-1" "P" 0 1 "U" 1 49999 1750 51755 "51964" "51965" 555 "<up>" "<up>" 1 1
"100-2-1" "P" 0 -1 "U" 2 52538 2500 55044 "55251" "55252" 628 "<up>" "<up>" 1 1
"100-2-1" "P" 0 -1 "R" 2 55898 2500 58405 "58612" "58613" 808 "<right>" "<right>" 1 1
